,company,role,location,link
41,SpacePe India (RMG),ReactJS Developer,"Dwarka, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=be2d4cf7202c0658&bb=eqV-oCi9N1DgYkhWYEZOqrmXg60JYsx5RJTmigLAGAwGZPoYDLyEy2iBOgDfWp0p_3ezmE1pSZ_flBLVGCGeKEBdUvdwZfr_C4Ow8u9aG3fuTrY_fQ1yMq3t8scYZxU9&xkcb=SoB167M38KK9YJA1xL0BbzkdCdPP&fccid=095ada99070705b2&cmp=Space-India&ti=Developer&vjs=3
42,Senpiper Technologies,Solution Engineer,"Connaught Place, Delhi, Delhi",https://in.indeed.com/rc/clk?jk=2ce3bbd131c881ee&bb=eqV-oCi9N1DgYkhWYEZOqreaBN6dcai8_zo5yxu2yJ65vrq0E3ElYMCal9mWydNxJzbRWznt9KbTG_g3Bokr9mJHOCw-pckzB-gmtbO0h4mAXzoZVwE8P3zMQbPVIDSI&xkcb=SoDB67M38KK9YJA1xL0AbzkdCdPP&fccid=dfaf0a8b546eef14&cmp=Senpiper-Technologies&ti=Solutions+Engineer&vjs=3
43,PicEra Private Limited,Backend Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=da257883fff65569&bb=eqV-oCi9N1DgYkhWYEZOqq2EcD2RsvF79255HsAna4lHm_keWgfUd0JsZavG3I-syK_AsLllE28Ouuo0W_CxGGQI1-DQsWjSUpzgNJi6Q-9wF4Bovh9lwLLcD-LJsZio&xkcb=SoBP67M38KK9YJA1xL0HbzkdCdPP&fccid=a62916cd07e6cfa0&cmp=Pic-Era&ti=Back+End+Developer&vjs=3
44,SIMPLYFY TECHNOCRAFT PRIVATE LIMITED,Python Developer - Image Clustering & Storage,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=a5df8873fceef71a&bb=eqV-oCi9N1DgYkhWYEZOqkF6sQHxYEK7RNP9SxL5m7YWzsq_N5h3KoJTA_0UHd--3dPQAfTpDmP6xvvkw7ZZQ3dbxM8uUZszK6Af_P4YB1e1ZjlHFJ0Qwk-GtlW65e1o&xkcb=SoD767M38KK9YJA1xL0GbzkdCdPP&fccid=91a3b52755796475&cmp=SIMPLYFY-TECHNOCRAFT-PRIVATE-LIMITED&ti=Python+Developer&vjs=3
45,desingdrop,Full Stack Developer,"Remote in Delhi, Delhi",https://in.indeed.com/rc/clk?jk=969559166a8e84b0&bb=eqV-oCi9N1DgYkhWYEZOqrPn-IndklW815_EsGMLBmp6Y3NsWiJMqXoUE0P_eR9dO0bX5A8KzIuiaSfhKZu1xgX6AS6zhr0Qf_CjdstADzEDiTLazRLKm9vlLZzPMsyq&xkcb=SoBm67M38KK9YJA1xL0FbzkdCdPP&fccid=64c96110ad8e3314&cmp=desingdrop&ti=Full+Stack+Developer&vjs=3
46,ar interiors,Full Stack Developer,"Kalkaji Devi, Delhi",https://in.indeed.com/rc/clk?jk=a09716ecd43d471e&bb=ItfCqly60ozpu0tHPgvZs1XsaXCByjF-nSYOumFYMFEosqCitshmv06QqGayKobeqtWxIrUsdzHkTylkzBwUvOVoGb6fnhyGpQf0JOh0_pDLz7aEPVjqo7KgSA-sw5YJ&xkcb=SoCR67M38KK73fg1xL0LbzkdCdPP&fccid=55af1db2a473d366&cmp=A.R-Interiors&ti=Full+Stack+Developer&vjs=3
47,Now&Me Enterprises,Full-Stack Developer - Now&Me,Delhi,https://in.indeed.com/rc/clk?jk=f4e91bf764de90f2&bb=ItfCqly60ozpu0tHPgvZsyIphpVQ9yXgKSo292C2OY9KtqUYL6PBF233emmaY-pFa5kY7MeKkHWre1X6dOPhfBy06lOkA8bTT4VzmSY2EwZTxlQO8UK37ZOO6HUTqF0d&xkcb=SoAl67M38KK73fg1xL0KbzkdCdPP&fccid=132f160835d0287a&vjs=3
48,VLtronics,Full Stack Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=ede91ae40f794979&bb=ItfCqly60ozpu0tHPgvZs1sZrP0ktWrMaN1aoHj21GOUU0DlG4QgBo4C24j6bMhLkwNZcKhL0ddX1W8SqK28BW_DHqbQisJ-HJ-SvP6ZpC4cWbjzyFpNv04Bh3fW8M6G&xkcb=SoC467M38KK73fg1xL0JbzkdCdPP&fccid=8541aba14dd20eea&vjs=3
49,BigShyft,C++ Developer,Delhi,https://in.indeed.com/rc/clk?jk=d66fab4570500f1b&bb=ItfCqly60ozpu0tHPgvZsx7JR2ACtPAolWFJMDC02sAzDe-qP5E4VIS0eKzx7Bk_dQ-vlVjoIvV-FQKCH5lB0SXdZQIc4UR31hICqHLFqDanUSM1Z5FXbr-AvCRw7q97&xkcb=SoAM67M38KK73fg1xL0IbzkdCdPP&fccid=df4303b9957be85e&vjs=3
50,DPT HUB Pvt. Ltd,Full Stack Developer,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=b0cfa05cdd1c067e&bb=ItfCqly60ozpu0tHPgvZs0QHVoCRv_vAMZy0ZPoReCHSqEOCIw1rI3TJ_x-gwtbpVu8zTJmQVkmFnz5RAOSjCdvudeGz8-Kws-pK8f06tEG8A-Xjkp7X5l5ZBR8Qi7hu&xkcb=SoCC67M38KK73fg1xL0PbzkdCdPP&fccid=536b432041bbd3d7&cmp=DPT-HUB-Pvt.-Ltd&ti=Full+Stack+Developer&vjs=3
